B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,G,G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,G,G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,G,G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,G,G,G,G,G,G,G,G,B,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
B,B,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
B,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,G,G,B,G,G,G,G,G,G,G,G,G,G,R,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,G,G,G,G,R,G,G,G,G,G,G,B,G,G,G,G,G,G,G,G,R,G,G,G,G,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,B,G,G,G,G,G,G,B,B,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,G,G,G,B,G,G,G,G,G,G,R,G,G,G,G,G,G,G,G,G,G,G,G,B,G,G,G,G,G,G,G,G
G,G,G,G,R,G,G,G,G,G,G,G,R,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,B,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,G,R,B,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,G,G,G,G,G,G,R,G,G,R,R,R,G,G,B,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
B,R,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,R,R,R,G,G,G,G,G,G,G,G,G,G,G,G,B,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,B,G,G,G,G,G,R,G,G,R,R,R,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,B,R,B,G,G,G,G,G,G,B,B,B,B,G,G,G,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,B,G,G,G,G,G,G,G,G,G,B,B,R,R,R,G,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,G,B,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,B,R,R,R,G,G,G,G,G,G,G,G
G,G,G,G,R,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,R,G,R,R,R,G,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,G,G,G,G,R,G,G,G,G,G,G,G,G,G,B,G,G,G,G,G,G,R,R,R,G,G,G,G,G,G,G,G
G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,B,G,G,G,G,G,G,G,G,G
G,G,G,G,G,B,B,G,G,G,G,G,G,G,G,G,G,G,G,G,G,R,G,G,G,G,B,G,G,G,G,G,G,G,G,G,G,G,G,G
G,G,G,G,G,G,R,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,B,R,G,G,G,G,B,R,G
G,G,G,G,G,G,G,G,G,G,G,G,G,B,G,R,G,G,G,G,G,G,G,G,G,R,G,G,G,B,B,B,B,G,G,G,G,G,G,G
G,G,G,G,G,G,G,B,G,G,G,G,G,B,B,B,G,G,G,G,B,B,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
G,G,B,G,G,G,R,B,G,G,G,G,G,G,G,G,G,G,G,G,B,G,B,G,G,G,G,G,G,G,G,R,G,G,G,B,G,G,B,G
G,G,B,R,G,G,R,G,G,G,G,R,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G,G
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,G,G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,G,G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,G,G,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
